ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
161,11/17/2008 15:40,YATAGAN (MUGLA),37.2652,28.1987,2.6,10.4,01:55.6
162,11/21/2008 17:10,YATAGAN (MUGLA),37.293,28.2303,2.6,2.3,01:55.6
163,12/5/2008 12:03,YATAGAN (MUGLA),37.2682,28.1765,2.5,5.3,01:55.7
164,12/13/2008 9:20,YATAGAN (MUGLA),37.2538,28.0735,2.7,15.8,01:55.7
165,12/17/2008 12:38,YATAGAN (MUGLA),37.2747,28.145,2.5,9.2,01:55.7
166,1/10/2009 12:01,YATAGAN (MUGLA),37.2683,28.1773,2.7,5,01:55.8
167,1/12/2009 17:22,YATAGAN (MUGLA),37.2493,28.1845,2.4,7.4,01:55.8
168,1/13/2009 12:13,YATAGAN (MUGLA),37.2835,28.1815,2.7,5,01:55.8
169,1/15/2009 17:57,YATAGAN (MUGLA),37.3568,28.2358,2.7,7.7,01:55.8
170,1/30/2009 0:45,YATAGAN (MUGLA),37.2462,28.1355,2.7,2,01:55.8
171,1/30/2009 0:56,YATAGAN (MUGLA),37.2377,28.1885,2.7,5.1,01:55.8
172,1/30/2009 7:33,YATAGAN (MUGLA),37.1883,28.0747,2.7,5.7,01:55.8
173,2/1/2009 11:55,YATAGAN (MUGLA),37.2375,28.165,2.6,6.8,01:55.9
174,2/1/2009 16:17,YATAGAN (MUGLA),37.2683,28.2158,2.6,3.4,01:55.9
175,2/7/2009 9:10,YATAGAN (MUGLA),37.3275,28.225,2.7,17.9,01:55.9
176,2/9/2009 5:43,YATAGAN (MUGLA),37.2705,28.2145,2.8,5,01:55.9
177,3/4/2009 12:04,YATAGAN (MUGLA),37.2657,28.192,2.6,6.1,01:56.0
178,3/20/2009 17:11,YATAGAN (MUGLA),37.3327,28.2723,2.6,6.9,01:56.0
179,4/1/2009 17:58,YATAGAN (MUGLA),37.3072,28.2082,2.8,7,01:56.0
180,4/9/2009 10:42,YATAGAN (MUGLA),37.3545,28.2363,2.5,7.1,01:56.0
181,4/19/2009 17:54,YATAGAN (MUGLA),37.2335,28.187,2.7,6.9,01:56.0
182,4/26/2009 11:56,YATAGAN (MUGLA),37.2813,28.2097,2.5,5,01:56.0
183,4/30/2009 17:56,YATAGAN (MUGLA),37.3573,28.2382,2.7,5,01:56.0
184,5/1/2009 17:54,YATAGAN (MUGLA),37.2645,28.143,2.7,5,01:56.2
185,5/6/2009 12:40,YATAGAN (MUGLA),37.2497,28.1968,2.7,6.4,01:56.2
186,5/7/2009 11:50,YATAGAN (MUGLA),37.2915,28.2088,2.6,5,01:56.2
187,5/8/2009 9:41,YATAGAN (MUGLA),37.3163,28.2187,2.7,7.6,01:56.2
188,5/10/2009 11:59,YATAGAN (MUGLA),37.2605,28.2055,2.6,9.1,01:56.2
189,5/10/2009 17:48,YATAGAN (MUGLA),37.234,28.1687,2.8,5.5,01:56.2
