ID,Date,Location,Latitude,Longtitude,Magnitude,Depth,Record date
249,5/16/2013 22:02,MARMARIS ACIKLARI-MUGLA (AKDENIZ)                 ,36.7632,28.515,1.4,24.1,02:02.8
250,5/17/2013 0:59,CETIBELI-MARMARIS (MUGLA)                         ,36.976,28.374,2.5,5,02:02.8
251,5/17/2013 1:22,CETIBELI-MARMARIS (MUGLA)                         ,36.9717,28.3658,2,2.8,02:02.8
252,5/17/2013 2:13,CETIBELI-MARMARIS (MUGLA)                         ,36.9925,28.3828,2.1,2.5,02:02.8
253,5/17/2013 8:10,CETIBELI-MARMARIS (MUGLA)                         ,36.9702,28.3302,2.5,6.7,02:02.8
254,5/17/2013 16:53,MARMARIS ACIKLARI-MUGLA (AKDENIZ)                 ,36.873,28.4162,2.1,5,02:02.8
255,5/17/2013 23:14,MARMARiS ACIKLARI-MUGLA (AKDENiZ)                 ,36.8382,28.4665,1.4,5,02:02.8
256,5/18/2013 0:20,CETIBELI-MARMARIS (MUGLA)                         ,36.9843,28.3722,2.3,1.1,02:02.8
257,5/19/2013 21:03,MARMARiS ACIKLARI-MUGLA (AKDENiZ)                 ,36.9217,28.4493,1.6,12.6,02:02.8
258,6/1/2013 21:40,MARMARiS ACIKLARI-MUGLA (AKDENiZ)                 ,36.7015,28.4535,1.9,22,02:03.0
259,6/3/2013 22:46,CETIBELI-MARMARIS (MUGLA)                         ,36.9635,28.3488,2.2,11.3,02:03.0
260,6/10/2013 17:49,HISARONU-MARMARIS (MUGLA)                         ,36.8372,28.0745,2,60.4,02:03.0
261,6/12/2013 0:01,BELDIBI-MARMARIS (MUGLA)                          ,36.9922,28.445,1.3,13.6,02:03.0
262,6/12/2013 0:21,CETIBELI-MARMARIS (MUGLA)                         ,37.004,28.372,1.3,17.7,02:03.0
263,6/18/2013 23:24,CETIBELI-MARMARIS (MUGLA)                         ,37.0048,28.2518,1.3,13,02:03.0
264,6/19/2013 3:20,CETIBELI-MARMARIS (MUGLA)                         ,36.9942,28.2823,1.4,8.7,02:03.0
265,6/19/2013 5:17,CETIBELI-MARMARIS (MUGLA)                         ,37.0002,28.2762,1.4,8.7,02:03.0
266,6/19/2013 10:18,CAMLI-MARMARIS (MUGLA)                            ,36.9977,28.2468,2.3,7.8,02:03.0
267,6/20/2013 10:17,BELDIBI-MARMARIS (MUGLA)                          ,36.9182,28.2958,2,14.5,02:03.0
268,6/22/2013 5:15,CETIBELI-MARMARIS (MUGLA)                         ,37.0163,28.39,1.7,10.6,02:03.0
269,6/24/2013 2:46,HISARONU-MARMARIS (MUGLA)                         ,36.7857,28.165,2.7,58.6,02:03.0
270,7/4/2013 12:20,BOZBURUN-MARMARIS (MUGLA)                         ,36.6478,28.0313,2,13.9,02:03.2
271,7/4/2013 14:36,BOZBURUN-MARMARIS (MUGLA)                         ,36.6647,28.0088,2.4,7.2,02:03.2
272,7/4/2013 17:53,BOZBURUN-MARMARIS (MUGLA)                         ,36.6553,28.0522,1.8,10.4,02:03.2
273,7/4/2013 21:43,BOZBURUN-MARMARIS (MUGLA)                         ,36.6597,28.034,1.8,11,02:03.2
274,7/5/2013 10:54,BOZBURUN-MARMARIS (MUGLA)                         ,36.6597,28.0208,2.9,7.1,02:03.2
275,7/5/2013 11:04,BOZBURUN-MARMARIS (MUGLA)                         ,36.6692,28.041,1.8,11.1,02:03.2
276,7/8/2013 7:53,BAYIR-MARMARIS (MUGLA)                            ,36.709,28.2247,1.7,62.4,02:03.2
277,7/22/2013 16:45,CETIBELI-MARMARIS (MUGLA)                         ,36.9898,28.3458,2,8.4,02:03.2
278,7/23/2013 7:20,KARACA-MARMARIS (MUGLA)                           ,36.9318,28.16,1.8,5.4,02:03.2
279,7/18/2013 10:16,BELDIBI-MARMARIS (MUGLA)                          ,36.9013,28.3133,1.6,29.7,02:03.2
280,8/1/2013 6:58,CETIBELI-MARMARIS (MUGLA)                         ,36.9782,28.2388,1.3,5.1,02:03.4
281,8/3/2013 19:16,MARMARIS (MUGLA)                                  ,36.8643,28.3095,2.1,16.8,02:03.4
282,8/5/2013 5:29,CETIBELI-MARMARIS (MUGLA)                         ,36.9927,28.2967,2,3.2,02:03.4
